,Player,Club,Club1
242,N'Golo Kanté,Chelsea,Chelsea
243,Blaise Matuidi,Juventus,Juventus
244,Steven Nzonzi,Sevilla FC,Sevilla
245,Steve Mandanda,Carlisle United,Marseille
246,Adil Rami,Carlisle United,Marseille
247,Nabil Fekir,Lyngby BK,Lyon
248,Djibril Sidibé,AS Monaco,Monaco
249,Florian Thauvin,Carlisle United,Marseille
250,Lucas Hernández,Atlético Madrid,Atlético Madrid
251,Benjamin Mendy,Manchester City,Manchester City
252,Alphonse Areola,Paris Saint-Germain,Paris Saint-Germain
253,Pedro Gallese,Vercelli,Veracruz
254,Alberto Rodríguez,Atlético Huila,Atlético Junior
255,Aldo Corzo,Universidad Católica,Universitario
256,Anderson Santamaría,Puebla,Puebla
257,Miguel Araujo,Alianza Petrolera,Alianza Lima
258,Miguel Trauco,Fulham,Flamengo
259,Paolo Hurtado,Vitória Guimarães,Vitória de Guimarães
260,Christian Cueva,São Paulo Futebol Clube,São Paulo
261,Paolo Guerrero (captain),Fulham,Flamengo
262,Jefferson Farfán,Lokomotiv Moscow,Lokomotiv Moscow
263,Raúl Ruidíaz,Morecambe,Morelia
264,Carlos Cáceda,Deportivo Toluca,Deportivo Municipal
265,Renato Tapia,Feyenoord,Feyenoord
266,Andy Polo,Portland Timbers,Portland Timbers
267,Christian Ramos,Vercelli,Veracruz
268,Wilder Cartagena,Vercelli,Veracruz
269,Luis Advíncula,Lobos de la BUAP,Lobos BUAP
270,André Carrillo,Watford,Watford
271,Yoshimar Yotún,Orlando City Soccer Club,Orlando City
272,Edison Flores,Albacete Balompié,AaB
273,José Carvallo,Torino,UTC
274,Nilson Loyola,Milan,Melgar
275,Pedro Aquino,Lobos de la BUAP,Lobos BUAP
276,Nahuel Guzmán,AS Nancy Lorraine,UANL
277,Gabriel Mercado,Sevilla FC,Sevilla
278,Nicolás Tagliafico,Ajax,Ajax
279,Cristian Ansaldi,Torino,Torino
280,Lucas Biglia,Milan,Milan
281,Federico Fazio,Roma,Roma
282,Éver Banega,Sevilla FC,Sevilla
283,Marcos Acuña,Sporting CP,Sporting CP
284,Gonzalo Higuaín,Juventus,Juventus
285,Lionel Messi (captain),FC Barcelona,Barcelona
286,Ángel Di María,Paris Saint-Germain,Paris Saint-Germain
287,Franco Armani,River Plate,River Plate
288,Maximiliano Meza,Independiente,Independiente
289,Javier Mascherano,Atlético Clube Goianiense,Hebei China Fortune
290,Manuel Lanzini,West Ham United,West Ham United
291,Marcos Rojo,Manchester United,Manchester United
292,Nicolás Otamendi,Manchester City,Manchester City
293,Eduardo Salvio,SL Benfica,Benfica
294,Sergio Agüero,Manchester City,Manchester City
295,Giovani Lo Celso,Paris Saint-Germain,Paris Saint-Germain
296,Paulo Dybala,Juventus,Juventus
297,Cristian Pavón,Boca Juniors,Boca Juniors
298,Willy Caballero,Chelsea,Chelsea
299,Dominik Livaković,Dinamo Moscow,Dinamo Zagreb
300,Šime Vrsaljko,Atlético Madrid,Atlético Madrid
301,Ivan Strinić,Sampdoria,Sampdoria
302,Ivan Perišić,Inter,Inter Milan
303,Vedran Ćorluka,Lokomotiv Moscow,Lokomotiv Moscow
304,Dejan Lovren,Liverpool,Liverpool
305,Ivan Rakitić,FC Barcelona,Barcelona
306,Mateo Kovačić,Real Madrid CF,Real Madrid
307,Andrej Kramarić,TSG 1899 Hoffenheim,1899 Hoffenheim
308,Luka Modrić (captain),Real Madrid CF,Real Madrid
309,Marcelo Brozović,Inter,Inter Milan
310,Lovre Kalinić,Genoa,Gent
311,Tin Jedvaj,Bayer 04 Leverkusen,Bayer Leverkusen
312,Filip Bradarić,River Plate,Rijeka
313,Duje Ćaleta-Car,FC Red Bull Salzburg,Red Bull Salzburg
314,Nikola Kalinić,Milan,Milan
315,Mario Mandžukić,Juventus,Juventus
316,Ante Rebić,Eintracht Frankfurt,Eintracht Frankfurt
317,Milan Badelj,Fiorentina,Fiorentina
318,Marko Pjaca,FC Schalke 04,Schalke 04
319,Domagoj Vida,Beşiktaş JK,Beşiktaş
320,Josip Pivarić,Dinamo Moscow,Dynamo Kyiv
321,Danijel Subašić,AS Monaco,Monaco
322,Hannes Þór Halldórsson,Rangers,Randers
323,Birkir Már Sævarsson,Palermo,Valur
324,Samúel Friðjónsson,Vålerenga Fotball,Vålerenga
325,Albert Guðmundsson,PSV,PSV Eindhoven
326,Sverrir Ingi Ingason,FC Rostov,Rostov
327,Ragnar Sigurðsson,FC Rostov,Rostov
328,Jóhann Berg Guðmundsson,Burnley,Burnley
329,Birkir Bjarnason,Aston Villa,Aston Villa
330,Björn Bergmann Sigurðarson,FC Rostov,Rostov
331,Gylfi Sigurðsson,Everton,Everton
332,Alfreð Finnbogason,FC Augsburg,FC Augsburg
333,Frederik Schram,Rochdale,Roskilde
334,Rúnar Alex Rúnarsson,FC Nordsjælland,Nordsjælland
335,Kári Árnason,Aberdeen,Aberdeen
336,Hólmar Örn Eyjólfsson,Brescia,Levski Sofia
337,Ólafur Ingi Skúlason,Kardemir Karabükspor,Kardemir Karabükspor
338,Aron Gunnarsson (captain),Cardiff City,Cardiff City
339,Hörður Björgvin Magnússon,Bristol City,Bristol City
340,Rúrik Gíslason,SV Sandhausen,SV Sandhausen
341,Emil Hallfreðsson,Udinese,Udinese
342,Arnór Ingvi Traustason,Malmö FF,Malmö
343,Jón Daði Böðvarsson,Reading,Reading
344,Ari Freyr Skúlason,Aberdeen,Lokeren
345,Ikechukwu Ezenwa,SD Eibar,Enyimba
346,Brian Idowu,Amkar Perm,Amkar Perm
347,Elderson Echiéjilé,FC Erzgebirge Aue,Cercle Brugge
348,Wilfred Ndidi,Leicester City,Leicester City
349,William Troost-Ekong,Bursaspor,Bursaspor
350,Leon Balogun,Milan,Mainz 05
351,Ahmed Musa,CSKA Moscow,CSKA Moscow
352,Oghenekaro Etebo,UD Las Palmas,Las Palmas
353,Odion Ighalo,Chacarita Juniors,Changchun Yatai
354,John Obi Mikel (captain),Milan,Tianjin TEDA
355,Victor Moses,Chelsea,Chelsea
356,Shehu Abdullahi,Bursaspor,Bursaspor
357,Simeon Nwankwo,Crotone,Crotone
358,Kelechi Iheanacho,Leicester City,Leicester City
359,Joel Obi,Torino,Torino
360,Daniel Akpeyi,Galway United,Chippa United
361,Ogenyi Onazi,Trabzonspor,Trabzonspor
362,Alex Iwobi,Arsenal,Arsenal
363,John Ogu,Napoli,Hapoel Be'er Sheva
364,Chidozie Awaziem,FC Nantes,Nantes
365,Tyronne Ebuehi,ADO Den Haag,ADO Den Haag
366,Kenneth Omeruo,Kasimpaşa SK,Kasımpaşa
367,Francis Uzoho,RC Deportivo de La Coruña,Deportivo La Coruña
368,Alisson,Roma,Roma
369,Thiago Silva,Paris Saint-Germain,Paris Saint-Germain
370,Miranda,Inter,Inter Milan
371,Pedro Geromel,Grêmio Foot-Ball Porto Alegrense,Grêmio
372,Casemiro,Real Madrid CF,Real Madrid
373,Filipe Luís,Atlético Madrid,Atlético Madrid
374,Douglas Costa,Juventus,Juventus
375,Renato Augusto,Amiens SC Football,Beijing Sinobo Guoan
376,Gabriel Jesus,Manchester City,Manchester City
377,Neymar,Paris Saint-Germain,Paris Saint-Germain
378,Philippe Coutinho,FC Barcelona,Barcelona
379,Marcelo,Real Madrid CF,Real Madrid
380,Marquinhos,Paris Saint-Germain,Paris Saint-Germain
381,Danilo,Manchester City,Manchester City
382,Paulinho,FC Barcelona,Barcelona
383,Cássio,Fiorentina,Corinthians
384,Fernandinho,Manchester City,Manchester City
385,Fred,Shakhtar Donetsk,Shakhtar Donetsk
386,Willian,Chelsea,Chelsea
387,Roberto Firmino,Liverpool,Liverpool
388,Taison,Shakhtar Donetsk,Shakhtar Donetsk
389,Fagner,Fiorentina,Corinthians
390,Ederson,Manchester City,Manchester City
