,Linked Name,Name,dist,id
75,Cristian Lodeira,Cristian Rodríguez,0.8787543859649123,230296
76,N. Nández,Nahitan Nández,0.8114835164835165,230965
77,L. Suárez,Luis Suárez,0.8802100840336133,176580
78,G. Herrera,Giorgian De Arrascaeta,0.7334285714285714,143018
79,Cristiano,Cristhian Stuani,0.8609180035650624,205068
80,M. Campaña,Martín Campaña,0.808673693456302,225647
81,G. Togni,Gastón Silva,0.8292100840336134,237512
82,Lucas Leiva,Lucas Torreira,0.8210144927536233,176266
83,M. Varnier,Matías Vecino,0.7325,235863
84,M. Pereira,Maxi Pereira,0.8161064425770308,182862
85,D. Laxalt,Diego Laxalt,0.9079831932773109,213400
86,M. Gómez,Maxi Gómez,0.832205882352941,239207
87,S. Coates,Sebastián Coates,0.7855847953216375,197655
88,Jonathas,Jonathan Urretaviscaya,0.8216468590831918,189169
89,E. Cavani,Edinson Cavani,0.8014069264069263,179813
90,Martin Cordeia,Martín Cáceres,0.8460697197539303,236164
91,Javi Castellano,Martín Silva,0.7035574229691877,190094
92,Auremir,Alireza Beiranvand,0.7342857142857143,208828
93,Matheus Sávio,Mehdi Torabi,0.6779788838612367,228305
94,A. Esaka,Ehsan Hajsafi,0.6769245247506116,232775
95,Roque Mesa,Rouzbeh Cheshmi,0.6792735042735042,204277
96,M. Mohammadi,Milad Mohammadi,0.7463345864661654,233218
97,S. Ezatolahi,Saeid Ezatolahi,0.8383636363636363,233241
98,M. Shojaei,Masoud Shojaei,0.8751315789473685,188877
99,Murilo Freitas,Morteza Pouraliganji,0.6954040875609503,235706
100,M. Ehmer,Omid Ebrahimi,0.6618566618566618,200812
101,K. Ansarifard,Karim Ansarifard,0.7613553113553113,197136
102,Vieirinha,Vahid Amiri,0.6838684191625369,177553
103,Moha Ramos,Mohammad Rashid Mazaheri,0.6611111111111111,241532
104,M. Bana,Mohammad Reza Khanzadeh,0.626984126984127,226494
105,S. Ghoddos,Saman Ghoddos,0.8802371541501977,231949
106,M. Cremonesi,Pejman Montazeri,0.6929914529914529,216665
107,R. Ghoochannejhad,Reza Ghoochannejhad,0.8020424403183023,189717
108,T. Weah,Mehdi Taremi,0.6975524475524475,241496
109,A. Jahanbakhsh,Alireza Jahanbakhsh,0.6636904761904762,215871
110,T. Siedschlag,Majid Hosseini,0.6768239811718072,238689
111,S. Azmoun,Sardar Azmoun,0.9225,213955
112,A. Dejagah,Ashkan Dejagah,0.848194099807003,157427
113,A. Abedzadeh,Amir Abedzadeh,0.9069169960474307,237419
114,R. Rezaeian,Ramin Rezaeian,0.790909090909091,239675
115,Yin Hongbo,Yassine Bounou,0.7426923076923078,224669
116,A. Hakimi,Achraf Hakimi,0.774799771167048,235212
117,H. Mendyl,Hamza Mendyl,0.8346749226006192,238346
118,Manuel da Costa,Manuel da Costa,0.9837837837837837,177533
119,M. Benatia,Medhi Benatia,0.8203081232492997,177509
120,R. Saïss,Romain Saïss,0.8374654377880185,208295
121,H. Ziyech,Hakim Ziyech,0.8769230769230769,208670
122,K. El Ahmadi,Karim El Ahmadi,0.8757142857142857,162329
123,E. Adebayor,Ayoub El Kaabi,0.7101370851370851,53050
124,Y. Belhanda,Younès Belhanda,0.780021978021978,193738
125,F. Fajr,Fayçal Fajr,0.736764705882353,205083
126,Munir,Munir Mohamedi,0.8451298701298702,223573
127,K. Boutaïb,Khalid Boutaïb,0.8003750000000001,210439
128,B. Youssouf,Mbark Boussoufa,0.6626984126984127,223445
129,Y. Aït Bennasser,Youssef Aït Bennasser,0.7495102974828376,230042
130,N. Amrabat,Nordin Amrabat,0.8310714285714285,183108
131,N. Dirar,Nabil Dirar,0.7798319327731092,177525
132,A. Harit,Amine Harit,0.7798319327731092,232097
133,Y. En-Nesyri,Youssef En-Nesyri,0.8116550968213373,235410
134,A. Bouhaddouz,Aziz Bouhaddouz,0.8921666666666666,188305
135,S. Amrabat,Sofyan Amrabat,0.8189931350114417,224158
136,A. Rinomhota,Ahmed Reda Tagnaouti,0.6729431336963098,228517
137,Carlinhos,Mehdi Carcela,0.7962137165035715,209828
138,Rui Patrício,Rui Patrício,1.0,178005
139,Bruno Alves,Bruno Alves,1.0,138110
140,Pepe,Pepe,0.96,120533
141,Manuel Fernandes,Manuel Fernandes,1.0,157960
142,R. Guerreiro,Raphaël Guerreiro,0.8509997102289192,209889
143,Wang Dalei,José Fonte,0.7141988446336273,182224
144,Cristiano Ronaldo,Cristiano Ronaldo,0.9806451612903226,20801
145,João Moutinho,João Moutinho,0.9727272727272728,162347
146,André Silva,André Silva,1.0,228941
147,João Mário,João Mário,1.0,212814
148,Bernardo Silva,Bernardo Silva,1.0,218667
149,Rony Lopes,Anthony Lopes,0.7116990336804578,212692
150,Rúben Dias,Rúben Dias,0.9700000000000001,239818
151,William Carvalho,William Carvalho,1.0,207566
152,Ricardo Pereira,Ricardo Pereira,0.9739130434782608,210243
153,Bruno Fernandes,Bruno Fernandes,1.0,212198
154,Gonçalo Guedes,Gonçalo Guedes,0.976,224411
155,Gelson Martins,Gelson Martins,1.0,227055
156,Mário Rui,Mário Rui,1.0,204614
157,Ricardo Ferreira,Ricardo Quaresma,0.8416666666666667,210862
158,Cédric,Cédric,1.0,201118
159,Beto,Beto,1.0,182629
160,Adrien Silva,Adrien Silva,1.0,184826
161,De Gea,David de Gea,0.8466266866566716,193080
162,Dani Ceballos,Dani Carvajal,0.867495126705653,222509
163,Gerard,Gerard Piqué,0.8240800865800866,214944
164,Nacho,Nacho,0.915,212183
165,Sergio Busquets,Sergio Busquets,0.9777777777777777,189511
166,André Gomes,Andrés Iniesta,0.8250639386189258,211575
167,Saúl,Saúl,1.0,208421
168,Koke,Koke,1.0,193747
169,Rodrigo,Rodrigo,0.9666666666666667,198329
170,Thiago,Thiago,0.9411483253588516,189509
171,Lucas Vázquez,Lucas Vázquez,0.9777777777777777,208618
172,Álvaro Tejero,Álvaro Odriozola,0.8296699603414668,231856
173,Kepa,Kepa Arrizabalaga,0.8277356902356903,206585
174,Azpilicueta,César Azpilicueta,0.7685185185185185,184432
175,Sergio Ramos,Sergio Ramos,0.9769230769230769,155862
176,Nacho Monreal,Nacho Monreal,1.0,177604
177,Iago Aspas,Iago Aspas,0.9338461538461538,192629
178,Jordi Alba,Jordi Alba,0.9727272727272728,189332
179,Diego Costa,Diego Costa,1.0,179844
180,Marco Asensio,Marco Asensio,0.9777777777777777,220834
181,David Silva,David Silva,1.0,168542
182,Isco,Isco,0.9666666666666667,197781
183,Pepe Reina,Pepe Reina,1.0,24630
184,M. Ryan,Mathew Ryan,0.8906291983878191,199005
185,M. Degenek,Milos Degenek,0.8128694581280789,229585
186,J. Meredith,James Meredith,0.8963317384370015,173450
187,T. Cahill,Tim Cahill,0.8740196078431371,51412
188,M. Milligan,Mark Milligan,0.8504166666666667,176992
189,M. Jurman,Matthew Jurman,0.8161698997384481,192250
190,M. Leckie,Mathew Leckie,0.7407410667136067,195033
191,C. Washington,Massimo Luongo,0.8026903651903652,217758
192,T. Jurić,Tomi Juric,0.786764705882353,213321
193,R. Kruse,Robbie Kruse,0.8622103386809268,182440
194,A. Nabbout,Andrew Nabbout,0.8646329365079365,212075
195,B. Jones,Brad Jones,0.934984520123839,165735
196,A. Mooy,Aaron Mooy,0.8778381642512076,194958
197,J. Maclaren,Jamie Maclaren,0.8065102974828374,212232
198,M. Jedinák,Mile Jedinak,0.792938868911409,181483
199,A. Behich,Aziz Behich,0.9030392156862744,202157
200,Danilo,Daniel Arzani,0.8290071584189231,199304
201,D. Vukovic,Danny Vukovic,0.846078431372549,181481
202,J. Risdon,Josh Risdon,0.9183198051948052,202678
203,T. Sainsbury,Trent Sainsbury,0.7353071083505867,199000
204,D. Petratos,Dimitri Petratos,0.7905,202208
205,J. Irvine,Jackson Irvine,0.8521312872975275,211378
206,T. Rogić,Tom Rogic,0.797142857142857,207928
207,K. Schmeichel,Kasper Schmeichel,0.8366556382685415,163587
208,M. Krohn-Dehli,Michael Krohn-Dehli,0.8234633787265366,159240
209,J. Vestergaard,Jannik Vestergaard,0.8185531396057713,202849
210,S. Kjær,Simon Kjær,0.8588235294117648,179645
211,J. Knudsen,Jonas Knudsen,0.7955064935064934,199748
212,André Geraldes,Andreas Christensen,0.8371794871794872,221750
213,William Carvalho,William Kvist,0.8565217391304347,207566
214,T. Delaney,Thomas Delaney,0.8164724164724164,193283
215,N. Jørgensen,Nicolai Jørgensen,0.9164835164835164,199852
216,C. Eriksen,Christian Eriksen,0.7913775766716942,190460
217,Martin Cordeia,Martin Braithwaite,0.8382558617852736,236164
218,K. Dolberg,Kasper Dolberg,0.826007326007326,228687
219,M. Jørgensen,Mathias Jørgensen,0.8402854245146335,183491
220,H. Dalsgaard,Henrik Dalsgaard,0.8057142857142857,190633
221,Vitolo,Viktor Fischer,0.6918677727501256,146288
222,J. Lössl,Jonas Lössl,0.8826428571428572,172553
223,J. Stryger Larsen,Jens Stryger Larsen,0.8224498327759198,193133
224,L. Lerager,Lukas Lerager,0.7313364055299538,217605
225,L. Schøne,Lasse Schöne,0.778277972027972,172143
226,Y. Poulsen,Yussuf Poulsen,0.8751315789473685,207791
227,Andrea Orlandi,Andreas Cornelius,0.8433333333333334,155930
228,F. Rønnow,Frederik Rønnow,0.6904306220095694,201269
229,P. Sisto,Pione Sisto,0.8154761904761905,212196
230,H. Lloris,Hugo Lloris,0.8483186813186814,167948
231,B. Pavard,Benjamin Pavard,0.797077922077922,226851
232,P. Kimpembe,Presnel Kimpembe,0.7937438423645321,225850
233,R. Varane,Raphaël Varane,0.7652997711670482,201535
234,S. Umtiti,Samuel Umtiti,0.8570282658517951,205600
235,P. Pogba,Paul Pogba,0.9046666666666667,195864
236,A. Griezmann,Antoine Griezmann,0.8057158119658119,194765
237,T. Lemar,Thomas Lemar,0.7306938159879336,213565
238,O. Giroud,Olivier Giroud,0.7755357142857144,178509
239,E. Cavani,Kylian Mbappé,0.8412698412698413,179813
